"Region","Year","meanPrec"
"AT11","1961",5.16752933402815
"AT12","1961",5.3248061837854
"AT13","1961",5.24193781123583
"AT21","1961",6.82403707987181
"AT22","1961",7.0617140038305
"AT31","1961",7.88441356242981
"AT32","1961",11.2172021585153
"AT33","1961",8.40194447200607
"AT34","1961",10.044937300982
"BE10","1961",7.54416658480962
"BE21","1961",8.05794538259506
"BE22","1961",7.42631735258243
"BE23","1961",7.17661992109904
"BE24","1961",7.13570716416264
"BE25","1961",6.48437910609775
"BE31","1961",6.9364671956594
"BE32","1961",7.64655272328525
"BE33","1961",8.02293732745897
"BE34","1961",9.38206428130649
"BE35","1961",7.94063591495244
"BG31","1961",4.34416048127478
"BG32","1961",4.66940054016823
"BG33","1961",3.87455982356382
"BG34","1961",4.59285760858491
"BG41","1961",4.77321588277183
"BG42","1961",5.16279858329234
"CY","1961",4.06359115759317
"CZ01","1961",3.7801728990835
"CZ02","1961",4.42279734035116
"CZ03","1961",5.60627733862797
"CZ04","1961",5.52820937488403
"CZ05","1961",6.14032476310812
"CZ06","1961",4.76474541697437
"CZ07","1961",5.1307941384302
"CZ08","1961",5.66452362530341
"DE1","1961",7.57671214309678
"DE2","1961",7.24658624141953
"DE4","1961",5.46429477823246
"DE5","1961",7.5127648662606
"DE6","1961",7.08674535586399
"DE7","1961",7.62081261712929
"DE8","1961",5.4728505776919
"DE9","1961",7.97865830777
"DEA","1961",8.39239808428732
"DEB","1961",6.44685382268044
"DEC","1961",7.26633034435743
"DED","1961",5.93649116652996
"DEE","1961",5.76005913726903
"DEF","1961",7.04520300399728
"DEG","1961",6.34733408527743
"DK01","1961",5.15977053106695
"DK02","1961",5.13651002221236
"DK03","1961",6.3725826807101
"DK04","1961",6.05482560713967
"DK05","1961",6.5330835179816
"EE","1961",6.07096722669592
"EL30","1961",3.68462362829395
"EL41","1961",5.06290310348875
"EL42","1961",0
"EL43","1961",7.81410005820915
"EL51","1961",5.0121570958903
"EL52","1961",4.23253472209797
